No,Kategori,Jenis Pengujian/Layanan,Satuan,Harga Mahasiswa,Harga Civitas (Dosen/Tendik),Harga Eksternal
365,D,Praktikum Fisika Dasar 2 (Modul Difraksi dan Interferensi) (Tanpa Asisten Praktikum),per peserta,0,0,50000
366,D,Praktikum Fisika Dasar 2 (Modul Hukum Kirchoff) (Tanpa Asisten Praktikum),per peserta,0,0,50000
367,D,Praktikum Fisika Dasar 2 (Modul Induksi Motor Listrik) (Tanpa Asisten Praktikum),per peserta,0,0,50000
368,D,Praktikum Fisika Dasar 2 (Modul Jembatan Wheatstone) (Tanpa Asisten Praktikum),per peserta,0,0,50000
369,D,Praktikum Fisika Dasar 2 (Modul Rangkaian Resistor - dan Induktor) (Tanpa Asisten Praktikum),per peserta,0,0,50000
370,D,Praktikum Fisika Dasar 2 (Modul Rangkaian Resistor - dan Kapasitor) (Tanpa Asisten Praktikum),per peserta,0,0,50000
371,D,Praktikum Fisika Dasar 2 (Modul Rangkaian Resistor - Induktor - dan Kapasitor) (Tanpa Asisten Praktikum),per peserta,0,0,50000
372,D,Praktikum Fisika Dasar 2 (Modul Rangkaian Seri dan Paralel) (Tanpa Asisten Praktikum),per peserta,0,0,40000
373,D,Praktikum Fisika Dasar 2 (Modul Reaktansi Kapasitif) (Tanpa Asisten Praktikum),per peserta,0,0,50000
374,D,Praktikum Fisika Dasar 2 (Modul Voltameter) (Tanpa Asisten Praktikum),per peserta,0,0,50000
375,D,Praktikum Microcontroller (Tanpa Asisten Praktikum),per peserta,0,0,30000
376,D,Praktikum Rangkaian Digital (Tanpa Asisten Praktikum),per peserta,0,0,30000
377,D,Praktikum Rangkaian Elektronika 1 (Tanpa Asisten Praktikum),per peserta,0,0,30000
378,D,Praktikum Rangkaian Listrik 1 (Tanpa Asisten Praktikum),per peserta,0,0,30000
379,D,Praktikum/ Penelitian S1/S2/S3/Umum (per peserta),per minggu,0,0,120000
380,D,Praktikum/ Penelitian S1/S2/S3/Umum (per peserta),per bulan,0,0,450000
381,D,Praktikum/ Penelitian S1/S2/S3/Umum (per peserta),per semester,0,0,2700000
382,D,Praktikum/ Penelitian SD/SMP/SMA (per peserta),per minggu,0,0,120000
383,D,Praktikum/ Penelitian SD/SMP/SMA (per peserta),per bulan,0,0,450000
384,D,Praktikum/ Penelitian SD/SMP/SMA (per peserta),per semester,0,0,2700000
385,D,Pelatihan Basic PLC Sertifikasi OMRON,per peserta,2000000,2800000,3500000
386,D,Pelatihan dan Sertifikasi program komputer,per peserta,80000,100000,1500000
387,D,Pelatihan Operasi dan Monitor Pembangkit Listrik Energi Terbarukan Off-Grid,per peserta,1000000,1800000,2800000
